phenocam,year,site,first_plants_vis,90_snowfree,frst_100_snowfree,frst_snow_return,50_snow_cover,100_snow cover,leaf-out,50_green_leaves,100_green_leaves,senes_begins,50_yellow,100_yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QHI_1,2023,QHI,30/5/2023,,10/06/2023,23/09/2023,23/09/2023,03/10/2023,21/6/2023,25/6/2023,4/7/2023,27/7/2023,9/8/2023,27/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QHI_2,2023,QHI,12/5/2023,20/5/2023,10/6/2023,23/09/2023,24/09/2023,03/10/2023,11/6/2023,20/6/2023,3/7/2023,26/7/2023,14/8/2023,23/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QHI_3,2023,QHI,21/5/2023,31/5/2023,10/6/2023,23/09/2023,24/09/2023,04/10/2023,10/6/2023,25/6/2023,6/7/2023,NA,3/8/2023,17/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QHI_4,2023,QHI,,,09/10/2023,23/09/2023,04/10/2023,04/10/2023,,23/6/2023,6/7/2023,26/7/2023,13/8/2023,1/9/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QHI_5,2023,QHI,,,10/06/2023,23/09/2023,23/09/2023,04/10/2023,12/6/2023,24/6/2023,5/7/2023,30/7/2023,14/8/2023,23/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QHI_6,2023,QHI,,,10/06/2023,23/09/2023,24/09/2023,04/10/2023,,27/6/2023,12/7/2023,26/7/2023,14/8/2023,24/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QHI_7,2023,QHI,,,10/06/2023,,,,,,29/06/2023,16/07/2023,19/8/2023,28/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QHI_8,2023,QHI,,,10/06/2023,23/09/2023,24/09/2023,03/10/2023,,28/6/2023,6/7/2023,28/7/2023,15/8/2023,29/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QHI_9,2023,QHI,22/5/2023,31/5/2023,9/10/2023,23/09/2023,04/10/2023,16/10/2023,12/6/2023,24/6/2023,9/7/2023,26/7/2023,3/8/2023,17/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QHI_10,2023,QHI,28/5/2023,3/6/2023,10/6/2023,23/09/2023,23/09/2023,04/10/2023,16/6/2023,26/6/2023,13/7/2023,27/7/2023,4/8/2023,21/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QHI_11,2023,QHI,,,10/06/2023,24/09/2023,04/10/2023,20/10/2023,,,08/07/2023,,,15/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QHI_12,2023,QHI,23/5/2023,,10/06/2023,,,,,03/07/2023,15/07/2023,,,22/08/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QHI_13,2023,QHI,,,10/06/2023,23/09/2023,23/09/2023,04/10/2023,,,,01/08/2023,11/8/2023,20/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QHI_14,2023,QHI,15/5/2023,21/6/2023,22/6/2023,23/09/2023,04/10/2023,04/10/2023,21/6/2023,23/6/2023,30/6/2023,24/7/2023,8/8/2023,21/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QHI_15,2023,QHI,23/5/2023,31/5/2023,11/6/2023,23/09/2023,23/09/2023,04/10/2023,16/6/2023,29/6/2023,11/7/2023,26/7/2023,9/8/2023,15/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QHI_16,2023,QHI,21/5/2023,,11/06/2023,23/09/2023,23/09/2023,04/10/2023,14/6/2023,28/6/2023,13/7/2023,31/7/2023,19/8/2023,1/9/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QHI_17,2023,QHI,21/5/2023,28/5/2023,10/6/2023,23/09/2023,23/09/2023,04/10/2023,17/6/2023,26/6/2023,8/7/2023,30/7/2023,7/8/2023,25/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QHI_18,2023,QHI,22/5/2023,29/5/2023,10/6/2023,23/09/2023,23/09/2023,04/10/2023,15/6/2023,24/6/2023,5/7/2023,2/8/2023,15/8/2023,27/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QHI_19,2023,QHI,23/5/2023,31/5/2023,10/6/2023,23/09/2023,23/09/2023,04/10/2023,08/06/2023,20/06/2023,28/06/2023,22/07/2023,14/08/2023,27/08/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QHI_20,2023,QHI,,,10/06/2023,23/09/2023,23/09/2023,08/10/2023,,,01/07/2023,13/07/2023,03/08/2023,16/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
